comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-limb-nozk,range/u8,100000,4,0.5326755046844482
prove,noirky2-limb-nozk,range/u8,100000,5,0.5258779525756836
prove,noirky2-limb-nozk,range/u8,100000,6,0.5206012725830078
prove,noirky2-limb-nozk,range/u8,100000,7,0.5040709972381592
prove,noirky2-limb-nozk,range/u8,100000,8,0.5447032451629639
prove,noirky2-limb-nozk,range/u8,100000,9,0.5438859462738037
prove,noirky2-limb-nozk,range/u8,100000,10,0.5270259380340576
prove,noirky2-limb-nozk,range/u8,100000,11,0.5458457469940186
prove,noirky2-limb-nozk,range/u8,100000,12,0.6070806980133057
prove,noirky2-limb-nozk,range/u8,100000,13,0.5184834003448486
prove,noirky2-limb-nozk,range/u8,100000,14,0.5362932682037354
prove,noirky2-bits,range/u16,5000,0,1.7393112182617188
prove,noirky2-bits,range/u16,5000,1,1.625884771347046
prove,noirky2-bits,range/u16,5000,2,1.6516265869140625
prove,noirky2-bits,range/u16,5000,3,1.6433405876159668
prove,noirky2-bits,range/u16,5000,4,1.6263000965118408
prove,noirky2-bits,range/u16,5000,5,1.6236190795898438
prove,noirky2-bits,range/u16,5000,6,1.625643014907837
prove,noirky2-bits,range/u16,5000,7,1.5994699001312256
prove,noirky2-bits,range/u16,5000,8,1.6219217777252197
prove,noirky2-bits,range/u16,5000,9,1.6439807415008545
prove,noirky2-bits,range/u16,5000,10,1.6032934188842773
prove,noirky2-bits,range/u16,5000,11,1.6713531017303467
prove,noirky2-bits,range/u16,5000,12,1.6344139575958252
prove,noirky2-bits,range/u16,5000,13,1.629016399383545
prove,noirky2-bits,range/u16,5000,14,1.5894086360931396
prove,noirky2-bits,range/u16,10000,0,3.0991432666778564
prove,noirky2-bits,range/u16,10000,1,3.16823410987854
prove,noirky2-bits,range/u16,10000,2,3.037609815597534
prove,noirky2-bits,range/u16,10000,3,3.1423208713531494
prove,noirky2-bits,range/u16,10000,4,3.062408924102783
prove,noirky2-bits,range/u16,10000,5,3.1453049182891846
prove,noirky2-bits,range/u16,10000,6,3.069225311279297
prove,noirky2-bits,range/u16,10000,7,3.1606314182281494
prove,noirky2-bits,range/u16,10000,8,3.066314458847046
prove,noirky2-bits,range/u16,10000,9,3.0939085483551025
prove,noirky2-bits,range/u16,10000,10,3.070127248764038
prove,noirky2-bits,range/u16,10000,11,3.104614496231079
prove,noirky2-bits,range/u16,10000,12,3.1462013721466064
prove,noirky2-bits,range/u16,10000,13,3.1312408447265625
prove,noirky2-bits,range/u16,10000,14,3.114626407623291
prove,noirky2-bits,range/u16,100000,0,12.945014953613281
prove,noirky2-bits,range/u16,100000,1,13.50997018814087
prove,noirky2-bits,range/u16,100000,2,13.494797945022583
prove,noirky2-bits,range/u16,100000,3,13.278861045837402
prove,noirky2-bits,range/u16,100000,4,13.536184310913086
prove,noirky2-bits,range/u16,100000,5,13.608568668365479
prove,noirky2-bits,range/u16,100000,6,13.219512462615967
prove,noirky2-bits,range/u16,100000,7,13.371755599975586
prove,noirky2-bits,range/u16,100000,8,13.524190187454224
prove,noirky2-bits,range/u16,100000,9,13.36188292503357
prove,noirky2-bits,range/u16,100000,10,13.325853109359741
prove,noirky2-bits,range/u16,100000,11,13.46729326248169
prove,noirky2-bits,range/u16,100000,12,13.29950499534607
prove,noirky2-bits,range/u16,100000,13,13.428226232528687
prove,noirky2-bits,range/u16,100000,14,13.399336576461792
prove,noirky2-bits-nozk,range/u16,5000,0,0.6954185962677002
prove,noirky2-bits-nozk,range/u16,5000,1,0.6335849761962891
prove,noirky2-bits-nozk,range/u16,5000,2,0.6740212440490723
prove,noirky2-bits-nozk,range/u16,5000,3,0.6762924194335938
prove,noirky2-bits-nozk,range/u16,5000,4,0.6409444808959961
prove,noirky2-bits-nozk,range/u16,5000,5,0.6182918548583984
prove,noirky2-bits-nozk,range/u16,5000,6,0.6627540588378906
prove,noirky2-bits-nozk,range/u16,5000,7,0.6572756767272949
prove,noirky2-bits-nozk,range/u16,5000,8,0.6323678493499756
prove,noirky2-bits-nozk,range/u16,5000,9,0.6145095825195312
prove,noirky2-bits-nozk,range/u16,5000,10,0.618340015411377
prove,noirky2-bits-nozk,range/u16,5000,11,0.6173698902130127
prove,noirky2-bits-nozk,range/u16,5000,12,0.6580061912536621
prove,noirky2-bits-nozk,range/u16,5000,13,0.6109187602996826
prove,noirky2-bits-nozk,range/u16,5000,14,0.6656680107116699
prove,noirky2-bits-nozk,range/u16,10000,0,1.1541426181793213
prove,noirky2-bits-nozk,range/u16,10000,1,1.1612510681152344
prove,noirky2-bits-nozk,range/u16,10000,2,1.1494140625
prove,noirky2-bits-nozk,range/u16,10000,3,1.1935362815856934
prove,noirky2-bits-nozk,range/u16,10000,4,1.171572208404541
